,Mumbai,ShirdiTemple,DumasBeach,StatueOfUnity,Ujjain,Yawal,Udaipur,Kanpur,Delhi,Varanasi,Raipur,Kolkata,Mahabaleswar,Goa,Hyderabad,Chennai,Bengaluru
Mumbai,0,242,293,-1,-1,-1,-1,-1,-1,-1,-1,-1,263,-1,-1,-1,-1
ShirdiTemple,242,0,315,392,63,254,-1,-1,-1,-1,-1,-1,310,640,663,-1,-1
DumasBeach,293,315,0,191,512,356,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
StatueOfUnity,-1,392,191,0,352,-1,412,1032,-1,1224,999,-1,-1,-1,-1,-1,-1
Ujjain,-1,63,512,352,0,326,332,669,-1,899,790,-1,-1,-1,-1,-1,-1
Yawal,-1,254,356,-1,326,0,628,998,-1,1127,700,-1,530,-1,661,-1,1087
Udaipur,-1,-1,-1,412,332,628,0,829,664,-1,-1,-1,-1,-1,-1,-1,-1
Kanpur,-1,-1,-1,1032,669,998,829,0,495,-1,-1,-1,-1,-1,-1,-1,-1
Delhi,-1,-1,-1,-1,-1,-1,664,495,0,-1,-1,-1,-1,-1,-1,-1,-1
Varanasi,-1,-1,-1,1224,899,1127,-1,-1,-1,0,-1,683,-1,-1,-1,-1,-1
Raipur,-1,-1,-1,999,790,700,-1,-1,-1,-1,0,833,-1,1344,783,1174,1370
Kolkata,-1,-1,-1,-1,-1,-1,-1,-1,-1,683,833,0,-1,-1,-1,-1,-1
Mahabaleswar,263,310,-1,-1,-1,530,-1,-1,-1,-1,-1,-1,0,395,596,-1,-1
Goa,-1,640,-1,-1,-1,-1,-1,-1,-1,-1,1344,-1,395,0,675,-1,562
Hyderabad,-1,663,-1,-1,-1,661,-1,-1,-1,-1,783,-1,596,675,0,-1,578
Chennai,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1174,-1,-1,-1,-1,0,347
Bengaluru,-1,-1,-1,-1,-1,1087,-1,-1,-1,-1,1370,-1,-1,562,578,347,0
