Number of nodes (N),Serial Time (μs),Parallel time with 2 threads (μs),Parallel time with 4 threads (μs),Parallel time with 6 threads (μs),Parallel time with 8 threads (μs),Parallel time with 10 threads (μs),Parallel time with 12 threads (μs)
500,4351,2782,3197,3352,3733,3879,4497
1000,7755,5059,4238,4650,5044,6629,14308
1500,12701,12787,8416,8639,9200,9420,11854
2000,20352,16074,10754,11417,10428,13876,20536
2500,35558,20478,13253,15563,14880,18112,68219
3000,48176,30030,24030,22513,19347,20974,29338
3500,70589,45548,26846,29545,36805,26874,33056
4000,113642,61624,40725,33859,32360,36591,43949
4500,155546,96020,52121,45585,40168,40781,79595
5000,198384,107319,62643,55974,48160,53906,67459
5500,226611,165318,64480,60754,58119,55885,88258
6000,238949,148452,71803,79227,66081,63507,131426
6500,331845,196656,102803,90382,80645,86157,94015
7000,365645,185685,106875,103702,90484,86411,120294
7500,386680,193616,132671,114696,108191,106341,116816
8000,505776,267600,149975,139908,113808,112048,181227
8500,466760,265561,151155,148668,137942,130640,183941
9000,688183,348798,201014,271296,169715,151006,357762
9500,626975,297813,212815,196687,171268,224655,219068
10000,700596,447460,218799,346894,227721,167483,272908
10500,715695,375897,214323,200699,171149,175942,234604
11000,790830,401467,273630,416110,383652,225517,1314512
11500,765867,424246,274624,230808,206346,207386,285249
12000,950895,535999,281043,260413,236034,216326,330929
12500,1086977,457827,317116,262820,238390,218538,293721
13000,1110425,496351,333121,284093,253135,236374,333415
13500,1125620,502746,327392,291704,257317,236534,317874
14000,1302417,548319,386993,324676,275853,276704,397561
14500,1384043,607568,360517,336999,294213,275110,347967
15000,1120890,599321,384364,360607,308892,306562,409927
15500,1389052,649691,386047,367217,323910,316737,577134
16000,1376628,717099,483445,403423,352725,316958,449865
16500,1518362,725556,458706,421750,359948,346617,460859
17000,1466847,761395,547997,422020,379151,376638,666743
17500,1745472,874001,556517,472889,410068,387210,550618
18000,1641348,750214,547914,501903,435180,448972,664138
18500,1737689,788556,511837,487665,431115,443663,556492
19000,1742128,851290,586653,536972,628293,498982,1233146
19500,1959899,985122,626071,574904,520208,540033,811732
20000,2070621,1087275,706435,599260,530523,554198,900045
